trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
709,False,"{'a': 0.5, 'e': 0.05865983665751736}",20,12,13.620611416673595,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 0.05842566596450083}",25,16,18.2740199445964,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 0.05819243008338615}",20,7,24.17096466356825,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 0.057960125282394234}",20,9,9.411365169201668,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 0.05772874784464333}",30,16,25.77929093830923,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.5, 'e': 0.057498294068089484}",25,11,29.414155311452383,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.5, 'e': 0.05726876026546736}",20,11,12.984535070462442,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.5, 'e': 0.057040142764231215}",30,24,9.047943844027463,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.056812437906496156}",20,5,16.445871756032084,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.056585642048979604}",20,10,18.05519742668269,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 0.05635975156294299}",20,14,12.355783290247555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.5, 'e': 0.056134762834133725}",20,13,12.833388115628054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 0.055910672262727355}",20,6,24.551577645403775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 0.05568747626326995}",20,11,5.648220575645506,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 0.05546517126462075}",25,12,16.67875567084308,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 0.055243753709895045}",20,14,13.379019701844886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.05502322005640723}",20,14,12.854289225756865,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.5, 'e': 0.054803566775614154}",20,6,21.82547389008088,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.5, 'e': 0.054584790353058625}",25,19,13.107285851108443,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 0.05436688728831322}",20,5,24.669459576055303,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 0.05414985409492427}",20,12,16.19446027225249,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.05393368730035602}",30,15,26.137902153629213,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 0.053718383445935165}",35,15,39.94587880266059,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 0.05350393908679544}",20,8,22.238243162066397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 0.053290350791822524}",20,8,22.328810282234137,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 0.053077615143599134}",30,19,23.758703007883135,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 0.05286572873835037}",30,18,20.13255094574422,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 0.05265468818588921}",20,0,31.657072945977166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
737,False,"{'a': 0.5, 'e': 0.05244449010956234}",25,19,10.712639523733364,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.5, 'e': 0.05223513114619603}",25,14,24.826835385497727,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
